Server Name,Server IP
10:25:45,10.1.20.13
10:28:20,10.1.24.37
10:28:21,10.1.24.37
10:29:28,10.1.22.23
10:31:12,10.1.22.2
10:31:13,10.1.22.2
10:38:09,10.1.22.23
10:43:02,10.1.22.23
10:45:02,10.1.20.184
10:51:42,10.1.20.184
10:52:08,10.3.9.200
10:52:09,10.3.9.200
10:55:08,10.1.20.184
11:07:00,10.1.20.184
11:07:57,10.1.22.23
11:12:23,10.1.24.37
11:12:27,10.1.24.37
11:17:12,10.1.20.35
11:17:32,10.1.22.23
11:18:16,10.1.20.35
11:21:41,10.1.20.184
11:31:27,10.1.20.13
11:44:42,10.1.22.23
11:51:38,10.1.20.184
11:53:25,10.1.24.243
11:53:47,10.1.22.23
